service_id,date,exception_type
0INV0FER2025091520251231000001,20250915,1
0INV0FER2025091520251231000001,20250916,1
0INV0FER2025091520251231000001,20250917,1
0INV0FER2025091520251231000001,20250918,1
0INV0FER2025091520251231000001,20250919,1
0INV0FER2025091520251231000001,20250920,1
0INV0FER2025091520251231000001,20250922,1
0INV0FER2025091520251231000001,20250923,1
0INV0FER2025091520251231000001,20250924,1
0INV0FER2025091520251231000001,20250925,1
0INV0FER2025091520251231000001,20250926,1
0INV0FER2025091520251231000001,20250927,1
0INV0FER2025091520251231000001,20250929,1
0INV0FER2025091520251231000001,20250930,1
0INV0FER2025091520251231000001,20251001,1
0INV0FER2025091520251231000001,20251002,1
0INV0FER2025091520251231000001,20251003,1
0INV0FER2025091520251231000001,20251004,1
0INV0FER2025091520251231000001,20251006,1
0INV0FER2025091520251231000001,20251007,1
0INV0FER2025091520251231000001,20251008,1
0INV0FER2025091520251231000001,20251009,1
0INV0FER2025091520251231000001,20251010,1
0INV0FER2025091520251231000001,20251011,1
0INV0FER2025091520251231000001,20251013,1
0INV0FER2025091520251231000001,20251014,1
0INV0FER2025091520251231000001,20251015,1
0INV0FER2025091520251231000001,20251016,1
0INV0FER2025091520251231000001,20251017,1
0INV0FER2025091520251231000001,20251018,1
0INV0FER2025091520251231000001,20251020,1
0INV0FER2025091520251231000001,20251021,1
0INV0FER2025091520251231000001,20251022,1
0INV0FER2025091520251231000001,20251023,1
0INV0FER2025091520251231000001,20251024,1
0INV0FER2025091520251231000001,20251025,1
0INV0FER2025091520251231000001,20251027,1
0INV0FER2025091520251231000001,20251028,1
0INV0FER2025091520251231000001,20251029,1
0INV0FER2025091520251231000001,20251030,1
0INV0FER2025091520251231000001,20251031,1
0INV0FER2025091520251231000001,20251103,1
0INV0FER2025091520251231000001,20251104,1
0INV0FER2025091520251231000001,20251105,1
0INV0FER2025091520251231000001,20251106,1
0INV0FER2025091520251231000001,20251107,1
0INV0FER2025091520251231000001,20251108,1
0INV0FER2025091520251231000001,20251110,1
0INV0FER2025091520251231000001,20251111,1
0INV0FER2025091520251231000001,20251112,1
0INV0FER2025091520251231000001,20251113,1
0INV0FER2025091520251231000001,20251114,1
0INV0FER2025091520251231000001,20251115,1
0INV0FER2025091520251231000001,20251117,1
0INV0FER2025091520251231000001,20251118,1
0INV0FER2025091520251231000001,20251119,1
0INV0FER2025091520251231000001,20251120,1
0INV0FER2025091520251231000001,20251121,1
0INV0FER2025091520251231000001,20251122,1
0INV0FER2025091520251231000001,20251124,1
0INV0FER2025091520251231000001,20251125,1
0INV0FER2025091520251231000001,20251126,1
0INV0FER2025091520251231000001,20251127,1
0INV0FER2025091520251231000001,20251128,1
0INV0FER2025091520251231000001,20251129,1
0INV0FER2025091520251231000001,20251201,1
0INV0FER2025091520251231000001,20251202,1
0INV0FER2025091520251231000001,20251203,1
0INV0FER2025091520251231000001,20251204,1
0INV0FER2025091520251231000001,20251205,1
0INV0FER2025091520251231000001,20251206,1
0INV0FER2025091520251231000001,20251209,1
0INV0FER2025091520251231000001,20251210,1
0INV0FER2025091520251231000001,20251211,1
0INV0FER2025091520251231000001,20251212,1
0INV0FER2025091520251231000001,20251213,1
0INV0FER2025091520251231000001,20251215,1
0INV0FER2025091520251231000001,20251216,1
0INV0FER2025091520251231000001,20251217,1
0INV0FER2025091520251231000001,20251218,1
0INV0FER2025091520251231000001,20251219,1
0INV0FER2025091520251231000001,20251220,1
0INV0FER2025091520251231000001,20251222,1
0INV0FER2025091520251231000001,20251223,1
0INV0FER2025091520251231000001,20251224,1
0INV0FER2025091520251231000001,20251227,1
0INV0FER2025091520251231000001,20251229,1
0INV0FER2025091520251231000001,20251230,1
0INV0FER2025091520251231000001,20251231,1
0INVFEST2025091520251231000001,20250921,1
0INVFEST2025091520251231000001,20250928,1
0INVFEST2025091520251231000001,20251005,1
0INVFEST2025091520251231000001,20251012,1
0INVFEST2025091520251231000001,20251019,1
0INVFEST2025091520251231000001,20251026,1
0INVFEST2025091520251231000001,20251101,1
0INVFEST2025091520251231000001,20251102,1
0INVFEST2025091520251231000001,20251109,1
0INVFEST2025091520251231000001,20251116,1
0INVFEST2025091520251231000001,20251123,1
0INVFEST2025091520251231000001,20251130,1
0INVFEST2025091520251231000001,20251207,1
0INVFEST2025091520251231000001,20251208,1
0INVFEST2025091520251231000001,20251214,1
0INVFEST2025091520251231000001,20251221,1
0INVFEST2025091520251231000001,20251225,1
0INVFEST2025091520251231000001,20251226,1
0INVFEST2025091520251231000001,20251228,1
